Question,Option A,Option B,Option C,Option D,Correct Answer
What is 2 + 2?,3,4,5,6,4
Simplify: 10 + 3 - 5,7,8,5,6,8
What is 6 multiplied by 3?,12,15,18,21,18
Calculate 25 divided by 5,3,5,6,8,5
"What is the next number in the sequence: 2, 4, 6, 8, __?",9,10,11,12,10
Which shape has three sides?,Circle,Square,Triangle,Rectangle,Triangle
What is the capital of France?,Berlin,London,Madrid,Paris,Paris
What is the largest planet in our solar system?,Earth,Venus,Mercury,Jupiter,Jupiter
How many colors are there in a rainbow?,5,6,7,8,7
What is the smallest prime number?,1,2,3,4,2
